,index,homeTeam,awayTeam,score,date
0,0,Arsenal,Leicester,4-3,F-11/08 20:45
1,1,Brighton,M. City,0-2,S-12/08 18:30
2,2,Chelsea,Burnley,2-3,S-12/08 16:00
3,3,Crystal Palace,Huddersfield Town,0-3,S-12/08 16:00
4,4,Everton,Stoke City,1-0,S-12/08 16:00
5,5,Southampton,Swansea City,0-0,S-12/08 16:00
6,6,Watford,Liverpool,3-3,S-12/08 13:30
7,7,WBA,Bournemouth,1-0,S-12/08 16:00
8,8,M. United,West Ham,4-0,SN-13/08 17:00
9,9,Newcastle,Tottenham,0-2,SN-13/08 14:30
10,0,Bournemouth,Watford,0-2,S-19/08 16:00
11,1,Burnley,WBA,0-1,S-19/08 16:00
12,2,Leicester,Brighton,2-0,S-19/08 16:00
13,3,Liverpool,Crystal Palace,1-0,S-19/08 16:00
14,4,Southampton,West Ham,3-2,S-19/08 16:00
15,5,Stoke City,Arsenal,1-0,S-19/08 18:30
16,6,Swansea City,M. United,0-4,S-19/08 13:30
17,7,Huddersfield Town,Newcastle,1-0,SN-20/08 14:30
18,8,Tottenham,Chelsea,1-2,SN-20/08 17:00
19,9,M. City,Everton,1-1,M-21/08 21:00
20,0,Bournemouth,M. City,1-2,S-26/08 13:30
21,1,Crystal Palace,Swansea City,0-2,S-26/08 16:00
22,2,Huddersfield Town,Southampton,0-0,S-26/08 16:00
23,3,M. United,Leicester,2-0,S-26/08 18:30
24,4,Newcastle,West Ham,3-0,S-26/08 16:00
25,5,Watford,Brighton,0-0,S-26/08 16:00
26,6,Chelsea,Everton,2-0,SN-27/08 14:30
27,7,Liverpool,Arsenal,4-0,SN-27/08 17:00
28,8,Tottenham,Burnley,1-1,SN-27/08 17:00
29,9,WBA,Stoke City,1-1,SN-27/08 14:30
30,0,Arsenal,Bournemouth,3-0,S-09/09 16:00
31,1,Brighton,WBA,3-1,S-09/09 16:00
32,2,Everton,Tottenham,0-3,S-09/09 16:00
33,3,Leicester,Chelsea,1-2,S-09/09 16:00
34,4,M. City,Liverpool,5-0,S-09/09 13:30
35,5,Southampton,Watford,0-2,S-09/09 16:00
36,6,Stoke City,M. United,2-2,S-09/09 18:30
37,7,Burnley,Crystal Palace,1-0,SN-10/09 14:30
38,8,Swansea City,Newcastle,0-1,SN-10/09 17:00
39,9,West Ham,Huddersfield Town,2-0,M-11/09 21:00
40,0,Bournemouth,Brighton,2-1,F-15/09 21:00
41,1,Crystal Palace,Southampton,0-1,S-16/09 13:30
42,2,Huddersfield Town,Leicester,1-1,S-16/09 16:00
43,3,Liverpool,Burnley,1-1,S-16/09 16:00
44,4,Newcastle,Stoke City,2-1,S-16/09 16:00
45,5,Tottenham,Swansea City,0-0,S-16/09 18:30
46,6,Watford,M. City,0-6,S-16/09 16:00
47,7,WBA,West Ham,0-0,S-16/09 16:00
48,8,Chelsea,Arsenal,0-0,SN-17/09 14:30
49,9,M. United,Everton,4-0,SN-17/09 17:00
50,0,Burnley,Huddersfield Town,0-0,S-23/09 16:00
51,1,Everton,Bournemouth,2-1,S-23/09 16:00
52,2,Leicester,Liverpool,2-3,S-23/09 18:30
53,3,M. City,Crystal Palace,5-0,S-23/09 16:00
54,4,Southampton,M. United,0-1,S-23/09 16:00
55,5,Stoke City,Chelsea,0-4,S-23/09 16:00
56,6,Swansea City,Watford,1-2,S-23/09 16:00
57,7,West Ham,Tottenham,2-3,S-23/09 13:30
58,8,Brighton,Newcastle,1-0,SN-24/09 17:00
59,9,Arsenal,WBA,2-0,M-25/09 21:00
60,0,Bournemouth,Leicester,0-0,S-30/09 16:00
61,1,Chelsea,M. City,0-1,S-30/09 18:30
62,2,Huddersfield Town,Tottenham,0-4,S-30/09 13:30
63,3,M. United,Crystal Palace,4-0,S-30/09 16:00
64,4,Stoke City,Southampton,2-1,S-30/09 16:00
65,5,WBA,Watford,2-2,S-30/09 16:00
66,6,West Ham,Swansea City,1-0,S-30/09 16:00
67,7,Arsenal,Brighton,2-0,SN-01/10 13:00
68,8,Everton,Burnley,0-1,SN-01/10 15:15
69,9,Newcastle,Liverpool,1-1,SN-01/10 17:30
70,0,Burnley,West Ham,1-1,S-14/10 16:00
71,1,Crystal Palace,Chelsea,2-1,S-14/10 16:00
72,2,Liverpool,M. United,0-0,S-14/10 13:30
73,3,M. City,Stoke City,7-2,S-14/10 16:00
74,4,Swansea City,Huddersfield Town,2-0,S-14/10 16:00
75,5,Tottenham,Bournemouth,1-0,S-14/10 16:00
76,6,Watford,Arsenal,2-1,S-14/10 18:30
77,7,Brighton,Everton,1-1,SN-15/10 14:30
78,8,Southampton,Newcastle,2-2,SN-15/10 17:00
79,9,Leicester,WBA,1-1,M-16/10 21:00
80,0,West Ham,Brighton,0-3,F-20/10 21:00
81,1,Chelsea,Watford,4-2,S-21/10 13:30
82,2,Huddersfield Town,M. United,2-1,S-21/10 16:00
83,3,M. City,Burnley,3-0,S-21/10 16:00
84,4,Newcastle,Crystal Palace,1-0,S-21/10 16:00
85,5,Southampton,WBA,1-0,S-21/10 18:30
86,6,Stoke City,Bournemouth,1-2,S-21/10 16:00
87,7,Swansea City,Leicester,1-2,S-21/10 16:00
88,8,Everton,Arsenal,2-5,SN-22/10 14:30
89,9,Tottenham,Liverpool,4-1,SN-22/10 17:00
90,0,Arsenal,Swansea City,2-1,S-28/10 16:00
91,1,Bournemouth,Chelsea,0-1,S-28/10 18:30
92,2,Crystal Palace,West Ham,2-2,S-28/10 16:00
93,3,Liverpool,Huddersfield Town,3-0,S-28/10 16:00
94,4,M. United,Tottenham,1-0,S-28/10 13:30
95,5,Watford,Stoke City,0-1,S-28/10 16:00
96,6,WBA,M. City,2-3,S-28/10 16:00
97,7,Brighton,Southampton,1-1,SN-29/10 14:30
98,8,Leicester,Everton,2-0,SN-29/10 17:00
99,9,Burnley,Newcastle,1-0,M-30/10 21:00
100,0,Huddersfield Town,WBA,1-0,S-04/11 16:00
101,1,Newcastle,Bournemouth,0-1,S-04/11 16:00
102,2,Southampton,Burnley,0-1,S-04/11 16:00
103,3,Stoke City,Leicester,2-2,S-04/11 13:30
104,4,Swansea City,Brighton,0-1,S-04/11 16:00
105,5,West Ham,Liverpool,1-4,S-04/11 18:30
106,6,Chelsea,M. United,1-0,SN-05/11 17:30
107,7,Everton,Watford,3-2,SN-05/11 17:30
108,8,M. City,Arsenal,3-1,SN-05/11 15:15
109,9,Tottenham,Crystal Palace,1-0,SN-05/11 13:00
110,0,Arsenal,Tottenham,2-0,S-18/11 13:30
111,1,Bournemouth,Huddersfield Town,4-0,S-18/11 16:00
112,2,Burnley,Swansea City,2-0,S-18/11 16:00
113,3,Crystal Palace,Everton,2-2,S-18/11 16:00
114,4,Leicester,M. City,0-2,S-18/11 16:00
115,5,Liverpool,Southampton,3-0,S-18/11 16:00
116,6,M. United,Newcastle,4-1,S-18/11 18:30
117,7,WBA,Chelsea,0-4,S-18/11 16:00
118,8,Watford,West Ham,2-0,SN-19/11 17:00
119,9,Brighton,Stoke City,2-2,M-20/11 21:00
120,0,West Ham,Leicester,1-1,F-24/11 21:00
121,1,Crystal Palace,Stoke City,2-1,S-25/11 16:00
122,2,Liverpool,Chelsea,1-1,S-25/11 18:30
123,3,M. United,Brighton,1-0,S-25/11 16:00
124,4,Newcastle,Watford,0-3,S-25/11 16:00
125,5,Swansea City,Bournemouth,0-0,S-25/11 16:00
126,6,Tottenham,WBA,1-1,S-25/11 16:00
127,7,Burnley,Arsenal,0-1,SN-26/11 15:00
128,8,Huddersfield Town,M. City,1-2,SN-26/11 17:00
129,9,Southampton,Everton,4-1,SN-26/11 14:30
130,0,Brighton,Crystal Palace,0-0,T-28/11 20:45
131,1,Leicester,Tottenham,2-1,T-28/11 20:45
132,2,Watford,M. United,2-4,T-28/11 21:00
133,3,WBA,Newcastle,2-2,T-28/11 21:00
134,4,Arsenal,Huddersfield Town,5-0,W-29/11 20:45
135,5,Bournemouth,Burnley,1-2,W-29/11 20:45
136,6,Chelsea,Swansea City,1-0,W-29/11 20:45
137,7,Everton,West Ham,4-0,W-29/11 21:00
138,8,M. City,Southampton,2-1,W-29/11 21:00
139,9,Stoke City,Liverpool,0-3,W-29/11 21:00
140,0,Arsenal,M. United,1-3,S-02/12 18:30
141,1,Brighton,Liverpool,1-5,S-02/12 16:00
142,2,Chelsea,Newcastle,3-1,S-02/12 13:30
143,3,Everton,Huddersfield Town,2-0,S-02/12 16:00
144,4,Leicester,Burnley,1-0,S-02/12 16:00
145,5,Stoke City,Swansea City,2-1,S-02/12 16:00
146,6,Watford,Tottenham,1-1,S-02/12 16:00
147,7,WBA,Crystal Palace,0-0,S-02/12 16:00
148,8,Bournemouth,Southampton,1-1,SN-03/12 14:30
149,9,M. City,West Ham,2-1,SN-03/12 17:00
150,0,Burnley,Watford,1-0,S-09/12 16:00
151,1,Crystal Palace,Bournemouth,2-2,S-09/12 16:00
152,2,Huddersfield Town,Brighton,2-0,S-09/12 16:00
153,3,Newcastle,Leicester,2-3,S-09/12 18:30
154,4,Swansea City,WBA,1-0,S-09/12 16:00
155,5,Tottenham,Stoke City,5-1,S-09/12 16:00
156,6,West Ham,Chelsea,1-0,S-09/12 13:30
157,7,Liverpool,Everton,1-1,SN-10/12 15:15
158,8,M. United,M. City,1-2,SN-10/12 17:30
159,9,Southampton,Arsenal,1-1,SN-10/12 13:00
160,0,Burnley,Stoke City,1-0,T-12/12 20:45
161,1,Crystal Palace,Watford,2-1,T-12/12 21:00
162,2,Huddersfield Town,Chelsea,1-3,T-12/12 21:00
163,3,Liverpool,WBA,0-0,W-13/12 21:00
164,4,M. United,Bournemouth,1-0,W-13/12 21:00
165,5,Newcastle,Everton,0-1,W-13/12 20:45
166,6,Southampton,Leicester,1-4,W-13/12 20:45
167,7,Swansea City,M. City,0-4,W-13/12 20:45
168,8,Tottenham,Brighton,2-0,W-13/12 21:00
169,9,West Ham,Arsenal,0-0,W-13/12 21:00
170,0,Arsenal,Newcastle,1-0,S-16/12 16:00
171,1,Brighton,Burnley,0-0,S-16/12 16:00
172,2,Chelsea,Southampton,1-0,S-16/12 16:00
173,3,Leicester,Crystal Palace,0-3,S-16/12 13:30
174,4,M. City,Tottenham,4-1,S-16/12 18:30
175,5,Stoke City,West Ham,0-3,S-16/12 17:00
176,6,Watford,Huddersfield Town,1-4,S-16/12 16:00
177,7,Bournemouth,Liverpool,0-4,SN-17/12 17:30
178,8,WBA,M. United,1-2,SN-17/12 15:15
179,9,Everton,Swansea City,3-1,M-18/12 21:00
180,0,Arsenal,Liverpool,3-3,F-22/12 20:45
181,1,Brighton,Watford,1-0,S-23/12 16:00
182,2,Burnley,Tottenham,0-3,S-23/12 18:30
183,3,Everton,Chelsea,0-0,S-23/12 13:30
184,4,Leicester,M. United,2-2,S-23/12 20:45
185,5,M. City,Bournemouth,4-0,S-23/12 16:00
186,6,Southampton,Huddersfield Town,1-1,S-23/12 16:00
187,7,Stoke City,WBA,3-1,S-23/12 16:00
188,8,Swansea City,Crystal Palace,1-1,S-23/12 16:00
189,9,West Ham,Newcastle,2-3,S-23/12 16:00
190,0,Bournemouth,West Ham,3-3,T-26/12 16:00
191,1,Chelsea,Brighton,2-0,T-26/12 16:00
192,2,Huddersfield Town,Stoke City,1-1,T-26/12 16:00
193,3,Liverpool,Swansea City,5-0,T-26/12 18:30
194,4,M. United,Burnley,2-2,T-26/12 16:00
195,5,Tottenham,Southampton,5-2,T-26/12 13:30
196,6,Watford,Leicester,2-1,T-26/12 16:00
197,7,WBA,Everton,0-0,T-26/12 16:00
198,8,Newcastle,M. City,0-1,W-27/12 20:45
199,9,Crystal Palace,Arsenal,2-3,TH-28/12 21:00
200,0,Bournemouth,Everton,2-1,S-30/12 16:00
201,1,Chelsea,Stoke City,5-0,S-30/12 16:00
202,2,Huddersfield Town,Burnley,0-0,S-30/12 16:00
203,3,Liverpool,Leicester,2-1,S-30/12 16:00
204,4,M. United,Southampton,0-0,S-30/12 18:30
205,5,Newcastle,Brighton,0-0,S-30/12 16:00
206,6,Watford,Swansea City,1-2,S-30/12 16:00
207,7,Crystal Palace,M. City,0-0,SN-31/12 13:00
208,8,WBA,Arsenal,1-1,SN-31/12 17:30
209,9,Tottenham,West Ham,1-1,TH-04/01 21:00
210,0,Brighton,Bournemouth,2-2,M-01/01 13:30
211,1,Burnley,Liverpool,1-2,M-01/01 16:00
212,2,Everton,M. United,0-2,M-01/01 18:30
213,3,Leicester,Huddersfield Town,3-0,M-01/01 16:00
214,4,Stoke City,Newcastle,0-1,M-01/01 16:00
215,5,M. City,Watford,3-1,T-02/01 21:00
216,6,Southampton,Crystal Palace,1-2,T-02/01 20:45
217,7,Swansea City,Tottenham,0-2,T-02/01 20:45
218,8,West Ham,WBA,2-1,T-02/01 20:45
219,9,Arsenal,Chelsea,2-2,W-03/01 20:45
220,0,Chelsea,Leicester,0-0,S-13/01 16:00
221,1,Crystal Palace,Burnley,1-0,S-13/01 16:00
222,2,Huddersfield Town,West Ham,1-4,S-13/01 16:00
223,3,Newcastle,Swansea City,1-1,S-13/01 16:00
224,4,Tottenham,Everton,4-0,S-13/01 18:30
225,5,Watford,Southampton,2-2,S-13/01 16:00
226,6,WBA,Brighton,2-0,S-13/01 16:00
227,7,Bournemouth,Arsenal,2-1,SN-14/01 14:30
228,8,Liverpool,M. City,4-3,SN-14/01 17:00
229,9,M. United,Stoke City,3-0,M-15/01 21:00
230,0,Arsenal,Crystal Palace,4-1,S-20/01 16:00
231,1,Brighton,Chelsea,0-4,S-20/01 13:30
232,2,Burnley,M. United,0-1,S-20/01 16:00
233,3,Everton,WBA,1-1,S-20/01 16:00
234,4,Leicester,Watford,2-0,S-20/01 16:00
235,5,M. City,Newcastle,3-1,S-20/01 18:30
236,6,Stoke City,Huddersfield Town,2-0,S-20/01 16:00
237,7,West Ham,Bournemouth,1-1,S-20/01 16:00
238,8,Southampton,Tottenham,1-1,SN-21/01 17:00
239,9,Swansea City,Liverpool,1-0,M-22/01 21:00
240,0,Huddersfield Town,Liverpool,0-3,T-30/01 21:00
241,1,Swansea City,Arsenal,3-1,T-30/01 20:45
242,2,West Ham,Crystal Palace,1-1,T-30/01 20:45
243,3,Chelsea,Bournemouth,0-3,W-31/01 20:45
244,4,Everton,Leicester,2-1,W-31/01 20:45
245,5,M. City,WBA,3-0,W-31/01 21:00
246,6,Newcastle,Burnley,1-1,W-31/01 20:45
247,7,Southampton,Brighton,1-1,W-31/01 20:45
248,8,Stoke City,Watford,0-0,W-31/01 21:00
249,9,Tottenham,M. United,2-0,W-31/01 21:00
250,0,Arsenal,Everton,5-1,S-03/02 18:30
251,1,Bournemouth,Stoke City,2-1,S-03/02 16:00
252,2,Brighton,West Ham,3-1,S-03/02 16:00
253,3,Burnley,M. City,1-1,S-03/02 13:30
254,4,Leicester,Swansea City,1-1,S-03/02 16:00
255,5,M. United,Huddersfield Town,2-0,S-03/02 16:00
256,6,WBA,Southampton,2-3,S-03/02 16:00
257,7,Crystal Palace,Newcastle,1-1,SN-04/02 15:15
258,8,Liverpool,Tottenham,2-2,SN-04/02 17:30
259,9,Watford,Chelsea,4-1,M-05/02 21:00
260,0,Everton,Crystal Palace,3-1,S-10/02 16:00
261,1,M. City,Leicester,5-1,S-10/02 18:30
262,2,Stoke City,Brighton,1-1,S-10/02 16:00
263,3,Swansea City,Burnley,1-0,S-10/02 16:00
264,4,Tottenham,Arsenal,1-0,S-10/02 13:30
265,5,West Ham,Watford,2-0,S-10/02 16:00
266,6,Huddersfield Town,Bournemouth,4-1,SN-11/02 13:00
267,7,Newcastle,M. United,1-0,SN-11/02 15:15
268,8,Southampton,Liverpool,0-2,SN-11/02 17:30
269,9,Chelsea,WBA,3-0,M-12/02 21:00
270,0,Bournemouth,Newcastle,2-2,S-24/02 16:00
271,1,Brighton,Swansea City,4-1,S-24/02 16:00
272,2,Burnley,Southampton,1-1,S-24/02 16:00
273,3,Leicester,Stoke City,1-1,S-24/02 13:30
274,4,Liverpool,West Ham,4-1,S-24/02 16:00
275,5,Watford,Everton,1-0,S-24/02 18:30
276,6,WBA,Huddersfield Town,1-2,S-24/02 16:00
277,7,Crystal Palace,Tottenham,0-1,SN-25/02 13:00
278,8,M. United,Chelsea,2-1,SN-25/02 15:05
279,9,Arsenal,M. City,0-3,TH-01/03 20:45
280,0,Burnley,Everton,2-1,S-03/03 13:30
281,1,Leicester,Bournemouth,1-1,S-03/03 16:00
282,2,Liverpool,Newcastle,2-0,S-03/03 18:30
283,3,Southampton,Stoke City,0-0,S-03/03 16:00
284,4,Swansea City,West Ham,4-1,S-03/03 16:00
285,5,Tottenham,Huddersfield Town,2-0,S-03/03 16:00
286,6,Watford,WBA,1-0,S-03/03 16:00
287,7,Brighton,Arsenal,2-1,SN-04/03 14:30
288,8,M. City,Chelsea,1-0,SN-04/03 17:00
289,9,Crystal Palace,M. United,2-3,M-05/03 21:00
290,0,Chelsea,Crystal Palace,2-1,S-10/03 18:30
291,1,Everton,Brighton,2-0,S-10/03 16:00
292,2,Huddersfield Town,Swansea City,0-0,S-10/03 16:00
293,3,M. United,Liverpool,2-1,S-10/03 13:30
294,4,Newcastle,Southampton,3-0,S-10/03 16:00
295,5,WBA,Leicester,1-4,S-10/03 16:00
296,6,West Ham,Burnley,0-3,S-10/03 16:00
297,7,Arsenal,Watford,3-0,SN-11/03 14:30
298,8,Bournemouth,Tottenham,1-4,SN-11/03 17:00
299,9,Stoke City,M. City,0-2,M-12/03 21:00
300,0,Tottenham,Newcastle,Aplaz.,F-16/03 21:00
301,1,Bournemouth,WBA,2-1,S-17/03 16:00
302,2,Burnley,Chelsea,Aplaz.,S-17/03 13:30
303,3,Huddersfield Town,Crystal Palace,0-2,S-17/03 16:00
304,4,Leicester,Arsenal,Aplaz.,S-17/03 16:00
305,5,Liverpool,Watford,5-0,S-17/03 18:30
306,6,Stoke City,Everton,1-2,S-17/03 16:00
307,7,Swansea City,Southampton,Aplaz.,S-17/03 16:00
308,8,M. City,Brighton,Aplaz.,SN-18/03 17:00
309,9,West Ham,M. United,Aplaz.,SN-18/03 14:30
