,homeTeam,awayTeam,homeScore,awayScore,gameData,gameTime
0,Arsenal,Leicester,4,3,11/08,20:45
1,Brighton,M. City,0,2,12/08,18:30
2,Chelsea,Burnley,2,3,12/08,16:00
3,Crystal Palace,Huddersfield Town,0,3,12/08,16:00
4,Everton,Stoke City,1,0,12/08,16:00
5,Southampton,Swansea City,0,0,12/08,16:00
6,Watford,Liverpool,3,3,12/08,13:30
7,WBA,Bournemouth,1,0,12/08,16:00
8,M. United,West Ham,4,0,13/08,17:00
9,Newcastle,Tottenham,0,2,13/08,14:30
10,Bournemouth,Watford,0,2,19/08,16:00
11,Burnley,WBA,0,1,19/08,16:00
12,Leicester,Brighton,2,0,19/08,16:00
13,Liverpool,Crystal Palace,1,0,19/08,16:00
14,Southampton,West Ham,3,2,19/08,16:00
15,Stoke City,Arsenal,1,0,19/08,18:30
16,Swansea City,M. United,0,4,19/08,13:30
17,Huddersfield Town,Newcastle,1,0,20/08,14:30
18,Tottenham,Chelsea,1,2,20/08,17:00
19,M. City,Everton,1,1,21/08,21:00
20,Bournemouth,M. City,1,2,26/08,13:30
21,Crystal Palace,Swansea City,0,2,26/08,16:00
22,Huddersfield Town,Southampton,0,0,26/08,16:00
23,M. United,Leicester,2,0,26/08,18:30
24,Newcastle,West Ham,3,0,26/08,16:00
25,Watford,Brighton,0,0,26/08,16:00
26,Chelsea,Everton,2,0,27/08,14:30
27,Liverpool,Arsenal,4,0,27/08,17:00
28,Tottenham,Burnley,1,1,27/08,17:00
29,WBA,Stoke City,1,1,27/08,14:30
30,Arsenal,Bournemouth,3,0,09/09,16:00
31,Brighton,WBA,3,1,09/09,16:00
32,Everton,Tottenham,0,3,09/09,16:00
33,Leicester,Chelsea,1,2,09/09,16:00
34,M. City,Liverpool,5,0,09/09,13:30
35,Southampton,Watford,0,2,09/09,16:00
36,Stoke City,M. United,2,2,09/09,18:30
37,Burnley,Crystal Palace,1,0,10/09,14:30
38,Swansea City,Newcastle,0,1,10/09,17:00
39,West Ham,Huddersfield Town,2,0,11/09,21:00
40,Bournemouth,Brighton,2,1,15/09,21:00
41,Crystal Palace,Southampton,0,1,16/09,13:30
42,Huddersfield Town,Leicester,1,1,16/09,16:00
43,Liverpool,Burnley,1,1,16/09,16:00
44,Newcastle,Stoke City,2,1,16/09,16:00
45,Tottenham,Swansea City,0,0,16/09,18:30
46,Watford,M. City,0,6,16/09,16:00
47,WBA,West Ham,0,0,16/09,16:00
48,Chelsea,Arsenal,0,0,17/09,14:30
49,M. United,Everton,4,0,17/09,17:00
50,Burnley,Huddersfield Town,0,0,23/09,16:00
51,Everton,Bournemouth,2,1,23/09,16:00
52,Leicester,Liverpool,2,3,23/09,18:30
53,M. City,Crystal Palace,5,0,23/09,16:00
54,Southampton,M. United,0,1,23/09,16:00
55,Stoke City,Chelsea,0,4,23/09,16:00
56,Swansea City,Watford,1,2,23/09,16:00
57,West Ham,Tottenham,2,3,23/09,13:30
58,Brighton,Newcastle,1,0,24/09,17:00
59,Arsenal,WBA,2,0,25/09,21:00
60,Bournemouth,Leicester,0,0,30/09,16:00
61,Chelsea,M. City,0,1,30/09,18:30
62,Huddersfield Town,Tottenham,0,4,30/09,13:30
63,M. United,Crystal Palace,4,0,30/09,16:00
64,Stoke City,Southampton,2,1,30/09,16:00
65,WBA,Watford,2,2,30/09,16:00
66,West Ham,Swansea City,1,0,30/09,16:00
67,Arsenal,Brighton,2,0,01/10,13:00
68,Everton,Burnley,0,1,01/10,15:15
69,Newcastle,Liverpool,1,1,01/10,17:30
70,Burnley,West Ham,1,1,14/10,16:00
71,Crystal Palace,Chelsea,2,1,14/10,16:00
72,Liverpool,M. United,0,0,14/10,13:30
73,M. City,Stoke City,7,2,14/10,16:00
74,Swansea City,Huddersfield Town,2,0,14/10,16:00
75,Tottenham,Bournemouth,1,0,14/10,16:00
76,Watford,Arsenal,2,1,14/10,18:30
77,Brighton,Everton,1,1,15/10,14:30
78,Southampton,Newcastle,2,2,15/10,17:00
79,Leicester,WBA,1,1,16/10,21:00
80,West Ham,Brighton,0,3,20/10,21:00
81,Chelsea,Watford,4,2,21/10,13:30
82,Huddersfield Town,M. United,2,1,21/10,16:00
83,M. City,Burnley,3,0,21/10,16:00
84,Newcastle,Crystal Palace,1,0,21/10,16:00
85,Southampton,WBA,1,0,21/10,18:30
86,Stoke City,Bournemouth,1,2,21/10,16:00
87,Swansea City,Leicester,1,2,21/10,16:00
88,Everton,Arsenal,2,5,22/10,14:30
89,Tottenham,Liverpool,4,1,22/10,17:00
90,Arsenal,Swansea City,2,1,28/10,16:00
91,Bournemouth,Chelsea,0,1,28/10,18:30
92,Crystal Palace,West Ham,2,2,28/10,16:00
93,Liverpool,Huddersfield Town,3,0,28/10,16:00
94,M. United,Tottenham,1,0,28/10,13:30
95,Watford,Stoke City,0,1,28/10,16:00
96,WBA,M. City,2,3,28/10,16:00
97,Brighton,Southampton,1,1,29/10,14:30
98,Leicester,Everton,2,0,29/10,17:00
99,Burnley,Newcastle,1,0,30/10,21:00
100,Huddersfield Town,WBA,1,0,04/11,16:00
101,Newcastle,Bournemouth,0,1,04/11,16:00
102,Southampton,Burnley,0,1,04/11,16:00
103,Stoke City,Leicester,2,2,04/11,13:30
104,Swansea City,Brighton,0,1,04/11,16:00
105,West Ham,Liverpool,1,4,04/11,18:30
106,Chelsea,M. United,1,0,05/11,17:30
107,Everton,Watford,3,2,05/11,17:30
108,M. City,Arsenal,3,1,05/11,15:15
109,Tottenham,Crystal Palace,1,0,05/11,13:00
110,Arsenal,Tottenham,2,0,18/11,13:30
111,Bournemouth,Huddersfield Town,4,0,18/11,16:00
112,Burnley,Swansea City,2,0,18/11,16:00
113,Crystal Palace,Everton,2,2,18/11,16:00
114,Leicester,M. City,0,2,18/11,16:00
115,Liverpool,Southampton,3,0,18/11,16:00
116,M. United,Newcastle,4,1,18/11,18:30
117,WBA,Chelsea,0,4,18/11,16:00
118,Watford,West Ham,2,0,19/11,17:00
119,Brighton,Stoke City,2,2,20/11,21:00
120,West Ham,Leicester,1,1,24/11,21:00
121,Crystal Palace,Stoke City,2,1,25/11,16:00
122,Liverpool,Chelsea,1,1,25/11,18:30
123,M. United,Brighton,1,0,25/11,16:00
124,Newcastle,Watford,0,3,25/11,16:00
125,Swansea City,Bournemouth,0,0,25/11,16:00
126,Tottenham,WBA,1,1,25/11,16:00
127,Burnley,Arsenal,0,1,26/11,15:00
128,Huddersfield Town,M. City,1,2,26/11,17:00
129,Southampton,Everton,4,1,26/11,14:30
130,Brighton,Crystal Palace,0,0,28/11,20:45
131,Leicester,Tottenham,2,1,28/11,20:45
132,Watford,M. United,2,4,28/11,21:00
133,WBA,Newcastle,2,2,28/11,21:00
134,Arsenal,Huddersfield Town,5,0,29/11,20:45
135,Bournemouth,Burnley,1,2,29/11,20:45
136,Chelsea,Swansea City,1,0,29/11,20:45
137,Everton,West Ham,4,0,29/11,21:00
138,M. City,Southampton,2,1,29/11,21:00
139,Stoke City,Liverpool,0,3,29/11,21:00
140,Arsenal,M. United,1,3,02/12,18:30
141,Brighton,Liverpool,1,5,02/12,16:00
142,Chelsea,Newcastle,3,1,02/12,13:30
143,Everton,Huddersfield Town,2,0,02/12,16:00
144,Leicester,Burnley,1,0,02/12,16:00
145,Stoke City,Swansea City,2,1,02/12,16:00
146,Watford,Tottenham,1,1,02/12,16:00
147,WBA,Crystal Palace,0,0,02/12,16:00
148,Bournemouth,Southampton,1,1,03/12,14:30
149,M. City,West Ham,2,1,03/12,17:00
150,Burnley,Watford,1,0,09/12,16:00
151,Crystal Palace,Bournemouth,2,2,09/12,16:00
152,Huddersfield Town,Brighton,2,0,09/12,16:00
153,Newcastle,Leicester,2,3,09/12,18:30
154,Swansea City,WBA,1,0,09/12,16:00
155,Tottenham,Stoke City,5,1,09/12,16:00
156,West Ham,Chelsea,1,0,09/12,13:30
157,Liverpool,Everton,1,1,10/12,15:15
158,M. United,M. City,1,2,10/12,17:30
159,Southampton,Arsenal,1,1,10/12,13:00
160,Burnley,Stoke City,1,0,12/12,20:45
161,Crystal Palace,Watford,2,1,12/12,21:00
162,Huddersfield Town,Chelsea,1,3,12/12,21:00
163,Liverpool,WBA,0,0,13/12,21:00
164,M. United,Bournemouth,1,0,13/12,21:00
165,Newcastle,Everton,0,1,13/12,20:45
166,Southampton,Leicester,1,4,13/12,20:45
167,Swansea City,M. City,0,4,13/12,20:45
168,Tottenham,Brighton,2,0,13/12,21:00
169,West Ham,Arsenal,0,0,13/12,21:00
170,Arsenal,Newcastle,1,0,16/12,16:00
171,Brighton,Burnley,0,0,16/12,16:00
172,Chelsea,Southampton,1,0,16/12,16:00
173,Leicester,Crystal Palace,0,3,16/12,13:30
174,M. City,Tottenham,4,1,16/12,18:30
175,Stoke City,West Ham,0,3,16/12,17:00
176,Watford,Huddersfield Town,1,4,16/12,16:00
177,Bournemouth,Liverpool,0,4,17/12,17:30
178,WBA,M. United,1,2,17/12,15:15
179,Everton,Swansea City,3,1,18/12,21:00
180,Arsenal,Liverpool,3,3,22/12,20:45
181,Brighton,Watford,1,0,23/12,16:00
182,Burnley,Tottenham,0,3,23/12,18:30
183,Everton,Chelsea,0,0,23/12,13:30
184,Leicester,M. United,2,2,23/12,20:45
185,M. City,Bournemouth,4,0,23/12,16:00
186,Southampton,Huddersfield Town,1,1,23/12,16:00
187,Stoke City,WBA,3,1,23/12,16:00
188,Swansea City,Crystal Palace,1,1,23/12,16:00
189,West Ham,Newcastle,2,3,23/12,16:00
190,Bournemouth,West Ham,3,3,26/12,16:00
191,Chelsea,Brighton,2,0,26/12,16:00
192,Huddersfield Town,Stoke City,1,1,26/12,16:00
193,Liverpool,Swansea City,5,0,26/12,18:30
194,M. United,Burnley,2,2,26/12,16:00
195,Tottenham,Southampton,5,2,26/12,13:30
196,Watford,Leicester,2,1,26/12,16:00
197,WBA,Everton,0,0,26/12,16:00
198,Newcastle,M. City,0,1,27/12,20:45
199,Crystal Palace,Arsenal,2,3,28/12,21:00
200,Bournemouth,Everton,2,1,30/12,16:00
201,Chelsea,Stoke City,5,0,30/12,16:00
202,Huddersfield Town,Burnley,0,0,30/12,16:00
203,Liverpool,Leicester,2,1,30/12,16:00
204,M. United,Southampton,0,0,30/12,18:30
205,Newcastle,Brighton,0,0,30/12,16:00
206,Watford,Swansea City,1,2,30/12,16:00
207,Crystal Palace,M. City,0,0,31/12,13:00
208,WBA,Arsenal,1,1,31/12,17:30
209,Tottenham,West Ham,1,1,04/01,21:00
210,Brighton,Bournemouth,2,2,01/01,13:30
211,Burnley,Liverpool,1,2,01/01,16:00
212,Everton,M. United,0,2,01/01,18:30
213,Leicester,Huddersfield Town,3,0,01/01,16:00
214,Stoke City,Newcastle,0,1,01/01,16:00
215,M. City,Watford,3,1,02/01,21:00
216,Southampton,Crystal Palace,1,2,02/01,20:45
217,Swansea City,Tottenham,0,2,02/01,20:45
218,West Ham,WBA,2,1,02/01,20:45
219,Arsenal,Chelsea,2,2,03/01,20:45
220,Chelsea,Leicester,0,0,13/01,16:00
221,Crystal Palace,Burnley,1,0,13/01,16:00
222,Huddersfield Town,West Ham,1,4,13/01,16:00
223,Newcastle,Swansea City,1,1,13/01,16:00
224,Tottenham,Everton,4,0,13/01,18:30
225,Watford,Southampton,2,2,13/01,16:00
226,WBA,Brighton,2,0,13/01,16:00
227,Bournemouth,Arsenal,2,1,14/01,14:30
228,Liverpool,M. City,4,3,14/01,17:00
229,M. United,Stoke City,3,0,15/01,21:00
230,Arsenal,Crystal Palace,4,1,20/01,16:00
231,Brighton,Chelsea,0,4,20/01,13:30
232,Burnley,M. United,0,1,20/01,16:00
233,Everton,WBA,1,1,20/01,16:00
234,Leicester,Watford,2,0,20/01,16:00
235,M. City,Newcastle,3,1,20/01,18:30
236,Stoke City,Huddersfield Town,2,0,20/01,16:00
237,West Ham,Bournemouth,1,1,20/01,16:00
238,Southampton,Tottenham,1,1,21/01,17:00
239,Swansea City,Liverpool,1,0,22/01,21:00
240,Huddersfield Town,Liverpool,0,3,30/01,21:00
241,Swansea City,Arsenal,3,1,30/01,20:45
242,West Ham,Crystal Palace,1,1,30/01,20:45
243,Chelsea,Bournemouth,0,3,31/01,20:45
244,Everton,Leicester,2,1,31/01,20:45
245,M. City,WBA,3,0,31/01,21:00
246,Newcastle,Burnley,1,1,31/01,20:45
247,Southampton,Brighton,1,1,31/01,20:45
248,Stoke City,Watford,0,0,31/01,21:00
249,Tottenham,M. United,2,0,31/01,21:00
250,Arsenal,Everton,5,1,03/02,18:30
251,Bournemouth,Stoke City,2,1,03/02,16:00
252,Brighton,West Ham,3,1,03/02,16:00
253,Burnley,M. City,1,1,03/02,13:30
254,Leicester,Swansea City,1,1,03/02,16:00
255,M. United,Huddersfield Town,2,0,03/02,16:00
256,WBA,Southampton,2,3,03/02,16:00
257,Crystal Palace,Newcastle,1,1,04/02,15:15
258,Liverpool,Tottenham,2,2,04/02,17:30
259,Watford,Chelsea,4,1,05/02,21:00
260,Everton,Crystal Palace,3,1,10/02,16:00
261,M. City,Leicester,5,1,10/02,18:30
262,Stoke City,Brighton,1,1,10/02,16:00
263,Swansea City,Burnley,1,0,10/02,16:00
264,Tottenham,Arsenal,1,0,10/02,13:30
265,West Ham,Watford,2,0,10/02,16:00
266,Huddersfield Town,Bournemouth,4,1,11/02,13:00
267,Newcastle,M. United,1,0,11/02,15:15
268,Southampton,Liverpool,0,2,11/02,17:30
269,Chelsea,WBA,3,0,12/02,21:00
270,Bournemouth,Newcastle,2,2,24/02,16:00
271,Brighton,Swansea City,4,1,24/02,16:00
272,Burnley,Southampton,1,1,24/02,16:00
273,Leicester,Stoke City,1,1,24/02,13:30
274,Liverpool,West Ham,4,1,24/02,16:00
275,Watford,Everton,1,0,24/02,18:30
276,WBA,Huddersfield Town,1,2,24/02,16:00
277,Crystal Palace,Tottenham,0,1,25/02,13:00
278,M. United,Chelsea,2,1,25/02,15:05
279,Arsenal,M. City,0,3,01/03,20:45
280,Burnley,Everton,2,1,03/03,13:30
281,Leicester,Bournemouth,1,1,03/03,16:00
282,Liverpool,Newcastle,2,0,03/03,18:30
283,Southampton,Stoke City,0,0,03/03,16:00
284,Swansea City,West Ham,4,1,03/03,16:00
285,Tottenham,Huddersfield Town,2,0,03/03,16:00
286,Watford,WBA,1,0,03/03,16:00
287,Brighton,Arsenal,2,1,04/03,14:30
288,M. City,Chelsea,1,0,04/03,17:00
289,Crystal Palace,M. United,2,3,05/03,21:00
290,Chelsea,Crystal Palace,2,1,10/03,18:30
291,Everton,Brighton,2,0,10/03,16:00
292,Huddersfield Town,Swansea City,0,0,10/03,16:00
293,M. United,Liverpool,2,1,10/03,13:30
294,Newcastle,Southampton,3,0,10/03,16:00
295,WBA,Leicester,1,4,10/03,16:00
296,West Ham,Burnley,0,3,10/03,16:00
297,Arsenal,Watford,3,0,11/03,14:30
298,Bournemouth,Tottenham,1,4,11/03,17:00
299,Stoke City,M. City,0,2,12/03,21:00
301,Bournemouth,WBA,2,1,17/03,16:00
303,Huddersfield Town,Crystal Palace,0,2,17/03,16:00
305,Liverpool,Watford,5,0,17/03,18:30
306,Stoke City,Everton,1,2,17/03,16:00
